Iteration,Selected Features,Accuracy,Precision,Recall,F1 Score,AUC-ROC
8516,"['voice mail plan', 'customer service calls', 'total night charge', 'total intl minutes', 'total day minutes', 'total intl charge', 'total day charge', 'total eve minutes', 'total eve calls', 'total eve charge']",0.9160419790104948,0.8596491228070176,0.5051546391752577,0.6363636363636364,0.7455597757279797
8517,"['international plan', 'total intl minutes', 'account length', 'total eve calls', 'number vmail messages', 'total night calls', 'total day charge', 'customer service calls', 'total eve minutes', 'total night minutes']",0.9205397301349325,0.8666666666666667,0.5360824742268041,0.6624203821656052,0.7610236932537529
8518,"['international plan', 'number vmail messages', 'total eve minutes', 'total eve charge', 'total intl minutes', 'account length', 'total day charge', 'voice mail plan', 'customer service calls', 'total eve calls']",0.9280359820089955,0.8656716417910447,0.5979381443298969,0.7073170731707318,0.7910743353228431
8519,"['total night charge', 'international plan', 'total day calls', 'total eve charge', 'total night calls', 'number vmail messages', 'total intl calls', 'total day minutes', 'total intl charge', 'total night minutes']",0.9145427286356822,0.9166666666666666,0.4536082474226804,0.6068965517241379,0.7232953517815156
8520,"['customer service calls', 'number vmail messages', 'total intl minutes', 'account length', 'total intl calls', 'total day charge', 'total day calls', 'total night charge', 'total eve minutes', 'total eve charge']",0.9115442278860569,0.8392857142857143,0.4845360824742268,0.6143790849673203,0.734373304395008
8521,"['total eve charge', 'customer service calls', 'total intl minutes', 'total day minutes', 'total intl charge', 'total eve minutes', 'voice mail plan', 'total day calls', 'number vmail messages', 'account length']",0.9145427286356822,0.8448275862068966,0.5051546391752577,0.632258064516129,0.7446825827455236
8522,"['account length', 'total day charge', 'total night charge', 'number vmail messages', 'voice mail plan', 'total intl calls', 'total eve calls', 'total intl charge', 'total day calls', 'international plan']",0.8995502248875562,0.7884615384615384,0.422680412371134,0.5503355704697986,0.7016910833785496
8523,"['total intl charge', 'voice mail plan', 'total day charge', 'account length', 'customer service calls', 'total day minutes', 'total night calls', 'number vmail messages', 'total intl minutes', 'total night charge']",0.889055472263868,0.7090909090909091,0.4020618556701031,0.513157894736842,0.6869958401157533
8524,"['account length', 'total night minutes', 'total eve minutes', 'total day calls', 'total intl charge', 'international plan', 'customer service calls', 'total night calls', 'total intl minutes', 'total eve charge']",0.8830584707646177,0.7435897435897436,0.29896907216494845,0.4264705882352941,0.6407126062579127
8525,"['total day charge', 'number vmail messages', 'customer service calls', 'voice mail plan', 'international plan', 'total eve charge', 'total eve calls', 'total night calls', 'account length', 'total night charge']",0.8980509745127436,0.7843137254901961,0.41237113402061853,0.5405405405405405,0.6965364442032917
8526,"['total day minutes', 'total night minutes', 'total night charge', 'total intl minutes', 'voice mail plan', 'customer service calls', 'total intl charge', 'number vmail messages', 'total eve minutes', 'account length']",0.9160419790104948,0.8727272727272727,0.4948453608247423,0.6315789473684211,0.7412823295351781
8527,"['total night minutes', 'total day calls', 'total eve charge', 'total night charge', 'international plan', 'total day charge', 'total eve calls', 'voice mail plan', 'total eve minutes', 'number vmail messages']",0.8860569715142429,0.7692307692307693,0.30927835051546393,0.4411764705882353,0.6467444384156267
8528,"['total eve charge', 'voice mail plan', 'account length', 'number vmail messages', 'customer service calls', 'total night minutes', 'total day calls', 'total intl charge', 'total intl minutes', 'international plan']",0.8785607196401799,0.7,0.28865979381443296,0.40875912408759124,0.6338035811177427
8529,"['total intl calls', 'voice mail plan', 'total day charge', 'total night minutes', 'total intl charge', 'total day calls', 'total night charge', 'total eve minutes', 'total intl minutes', 'total night calls']",0.8860569715142429,0.8387096774193549,0.26804123711340205,0.40624999999999994,0.6296346536444203
8530,"['total night calls', 'total eve minutes', 'customer service calls', 'international plan', 'total eve charge', 'voice mail plan', 'total night minutes', 'total eve calls', 'total day charge', 'total day calls']",0.9145427286356822,0.8571428571428571,0.4948453608247423,0.6274509803921569,0.740405136552722
8531,"['total intl charge', 'total intl calls', 'total eve minutes', 'total eve charge', 'total night minutes', 'voice mail plan', 'total day minutes', 'total night calls', 'total intl minutes', 'international plan']",0.9235382308845578,0.9423076923076923,0.5051546391752577,0.6577181208053691,0.7499457406402604
8532,"['international plan', 'total day calls', 'total day charge', 'total eve calls', 'total intl minutes', 'number vmail messages', 'voice mail plan', 'account length', 'customer service calls', 'total night minutes']",0.8935532233883059,0.7241379310344828,0.4329896907216495,0.5419354838709677,0.7024597576415266
8533,"['total day minutes', 'number vmail messages', 'total intl minutes', 'total eve minutes', 'total night charge', 'total night calls', 'total eve charge', 'total eve calls', 'voice mail plan', 'international plan']",0.9085457271364318,0.8913043478260869,0.422680412371134,0.5734265734265733,0.7069542412732863
8534,"['customer service calls', 'total night minutes', 'total intl minutes', 'total day calls', 'voice mail plan', 'number vmail messages', 'total eve calls', 'total eve minutes', 'total night calls', 'total intl calls']",0.8530734632683659,0.48148148148148145,0.13402061855670103,0.2096774193548387,0.5547296075239645
8535,"['total eve calls', 'total intl calls', 'total day charge', 'total intl charge', 'total intl minutes', 'account length', 'total night charge', 'voice mail plan', 'customer service calls', 'total day calls']",0.8785607196401799,0.6739130434782609,0.31958762886597936,0.43356643356643354,0.6466359196961475
8536,"['total night minutes', 'total eve charge', 'voice mail plan', 'total intl charge', 'total day charge', 'total intl minutes', 'total eve calls', 'number vmail messages', 'total night charge', 'total day minutes']",0.8980509745127436,0.8918918918918919,0.3402061855670103,0.49253731343283585,0.6665943208536806
8537,"['account length', 'total night charge', 'total intl calls', 'total day minutes', 'total day charge', 'customer service calls', 'total intl minutes', 'total day calls', 'total eve calls', 'total eve charge']",0.8860569715142429,0.6721311475409836,0.422680412371134,0.5189873417721519,0.6937963465364443
8538,"['customer service calls', 'total day minutes', 'total night charge', 'total day charge', 'international plan', 'total intl minutes', 'total night calls', 'voice mail plan', 'total eve minutes', 'total intl calls']",0.9415292353823088,0.881578947368421,0.6907216494845361,0.7745664739884394,0.8374660879001627
8539,"['total intl charge', 'total day charge', 'total eve minutes', 'customer service calls', 'total eve charge', 'total night charge', 'number vmail messages', 'total intl minutes', 'account length', 'total eve calls']",0.9145427286356822,0.8703703703703703,0.4845360824742268,0.6225165562913907,0.7361276903599204
8540,"['total eve calls', 'international plan', 'number vmail messages', 'total night charge', 'total night calls', 'total day charge', 'voice mail plan', 'total intl charge', 'customer service calls', 'total day calls']",0.8935532233883059,0.7166666666666667,0.44329896907216493,0.5477707006369427,0.706737203834328
8541,"['total intl minutes', 'total day minutes', 'total intl calls', 'total day charge', 'total night calls', 'international plan', 'account length', 'total eve minutes', 'total intl charge', 'voice mail plan']",0.9205397301349325,0.9074074074074074,0.5051546391752577,0.6490066225165563,0.7481913546753481
8542,"['international plan', 'total night minutes', 'voice mail plan', 'total intl calls', 'total eve minutes', 'total day minutes', 'total day calls', 'total eve calls', 'total night calls', 'customer service calls']",0.9280359820089955,0.8769230769230769,0.5876288659793815,0.7037037037037037,0.7867968891300416
8543,"['account length', 'total intl charge', 'international plan', 'voice mail plan', 'total night charge', 'total eve charge', 'total day charge', 'number vmail messages', 'total eve calls', 'total intl calls']",0.9175412293853074,0.92,0.4742268041237113,0.6258503401360545,0.7336046301320311
8544,"['total night minutes', 'total night charge', 'total eve calls', 'total eve minutes', 'international plan', 'total intl charge', 'customer service calls', 'total night calls', 'total eve charge', 'total intl calls']",0.9025487256371814,0.8076923076923077,0.4329896907216495,0.563758389261745,0.7077229155362633
8545,"['voice mail plan', 'total day calls', 'total night minutes', 'customer service calls', 'number vmail messages', 'account length', 'total intl charge', 'total eve minutes', 'total eve charge', 'total night charge']",0.8545727136431784,0.5,0.15463917525773196,0.23622047244094488,0.5641616928920239
8546,"['total day calls', 'total night calls', 'total eve calls', 'total intl charge', 'international plan', 'number vmail messages', 'account length', 'total eve minutes', 'total day charge', 'total day minutes']",0.8995502248875562,0.8409090909090909,0.38144329896907214,0.524822695035461,0.6845812986073431
8547,"['international plan', 'total night charge', 'total day calls', 'customer service calls', 'total night calls', 'total eve calls', 'total intl charge', 'total night minutes', 'number vmail messages', 'total intl minutes']",0.8725637181409296,0.6578947368421053,0.25773195876288657,0.37037037037037035,0.6174624706095135
8548,"['total night charge', 'total intl charge', 'customer service calls', 'total day calls', 'number vmail messages', 'international plan', 'total night calls', 'total eve calls', 'total day charge', 'total eve minutes']",0.9280359820089955,0.8888888888888888,0.5773195876288659,0.7,0.78251944293724
8549,"['total night minutes', 'total eve charge', 'total day charge', 'total night calls', 'voice mail plan', 'total day calls', 'customer service calls', 'total night charge', 'total eve minutes', 'account length']",0.9115442278860569,0.8166666666666667,0.5051546391752577,0.6242038216560509,0.7429281967806113
8550,"['number vmail messages', 'total eve minutes', 'account length', 'total eve charge', 'total eve calls', 'total day charge', 'customer service calls', 'total intl calls', 'total intl minutes', 'total night calls']",0.9115442278860569,0.8392857142857143,0.4845360824742268,0.6143790849673203,0.734373304395008
8551,"['total day minutes', 'number vmail messages', 'total eve minutes', 'total night calls', 'total intl calls', 'customer service calls', 'international plan', 'total night charge', 'total day charge', 'total eve charge']",0.9310344827586207,0.8695652173913043,0.6185567010309279,0.7228915662650603,0.8013836136733586
